Route,Route Half,Date,Time,Address,Species,Caste,Nest_search_slow,Nest_search_fast,Foraging,Other,Note
9,B,7/11/23,12:01,217 Carmel,Vosnesenskii,Worker,0,0,1,0,Pollen foraging on poppy
9,B,7/11/23,12:09,331 Ramona,Vosnesenskii,Worker,0,0,1,0,Pollen foraging on poppy
9,B,7/11/23,12:09,331 Ramona,Vosnesenskii,Worker,0,0,1,0,Pollen foraging on poppy
9,B,7/11/23,12:22,138 Ramona,Vosnesenskii,Worker,0,0,1,0,
9,B,7/11/23,13:23,323 Pomona,Vosnesenskii,Worker,0,0,1,0,On hydrangea
9,B,7/11/23,13:23,323 Pomona,Vosnesenskii,Worker,0,0,1,0,On hydrangea
9,B,7/11/23,13:23,323 Pomona,Vosnesenskii,Worker,0,0,1,0,On hydrangea
9,B,7/11/23,13:23,323 Pomona,Vosnesenskii,Worker,0,0,1,0,On hydrangea
9,B,7/11/23,13:23,323 Pomona,Vosnesenskii,Worker,0,0,1,0,On hydrangea
9,B,7/11/23,13:23,323 Pomona,Vosnesenskii,Worker,0,0,1,0,Pollen foraging on poppy
4,B,7/10/23,14:16,1305 Ward,Vosnesenskii,Worker,0,0,1,0,Pollen foraging on poppy
4,B,7/10/23,14:16,1305 Ward,Vosnesenskii,Worker,0,0,1,0,Pollen foraging on poppy
4,B,7/10/23,14:20,2703 Mabel,Vosnesenskii,Worker,0,0,1,0,Pollen and nectar foraging on artichoke
9,B,5/23/23,12:35,120 Pomona,Vosnesenskii,Worker,0,0,1,0,Nectaring
11,,1/13/22,,,Vosnesenskii,Queen,0,1,0,0,
